"","id","zip","x","y"
"11674",11675,"10304",-74.08110434,40.61779724
"11675",11676,"10307",-74.23853624,40.50146433
"11676",11677,"10303",-74.16023979,40.63546201
"11677",11678,"10306",-74.14061305,40.55616016
"11678",11679,"10303",-74.16023979,40.63546201
"11679",11680,"10303",-74.16023979,40.63546201
"11680",11681,"10306",-74.14061305,40.55616016
"11681",11682,"10306",-74.10600777,40.57414013
"11682",11683,"10308",-74.15016268,40.55077647
"11683",11684,"10303",-74.16023979,40.63546201
"11684",11685,"10304",-74.08165623,40.61549122
"11685",11686,"10303",-74.16023979,40.63546201
"11686",11687,"10306",-74.1169149,40.55778146
"11687",11688,"10314",-74.14305871,40.61094346
"11688",11689,"10314",-74.16069464,40.62086456
"11689",11690,"10306",-74.11328381,40.56207524
"11690",11691,"10308",-74.14386747,40.56005925
"11691",11692,"10314",-74.16069464,40.62086456
"11692",11693,"10306",-74.11191815,40.56539505
"11693",11694,"10306",-74.11728108,40.56137405
"11694",11695,"10310",-74.12873277,40.62661397
"11695",11696,"10303",-74.1661083,40.63806398
"11696",11697,"10309",-74.20625845,40.53919137
"11697",11698,"10306",-74.1169149,40.55778146
"11698",11699,"10301",-74.07721685,40.64502275
"11699",11700,"10306",-74.11328381,40.56207524
"11700",11701,"10302",-74.1320943,40.63774029
"11701",11702,"10302",-74.1320943,40.63774029
"11702",11703,"10301",-74.07721685,40.64502275
"11703",11704,"10306",-74.1169149,40.55778146
"11704",11705,"10306",-74.11721446,40.56442634
"11705",11706,"10302",-74.13047187,40.63168438
"11706",11707,"10304",-74.08165623,40.61549122
"11707",11708,"10306",-74.1091699,40.55972418
"11708",11709,"10306",-74.11721446,40.56442634
"11709",11710,"10301",-74.08472962,40.64747679
"11710",11711,"10314",-74.1689361,40.58230199
"11711",11712,"10304",-74.08243636,40.60846124
"11712",11713,"10306",-74.13395958,40.56898089
"11713",11714,"10301",-74.08449995,40.64823726
"11714",11715,"10308",-74.14114185,40.55776522
"11715",11716,"10306",-74.11721446,40.56442634
"11716",11717,"10306",-74.09264656,40.57207112
"11717",11718,"10306",-74.09703788,40.57446371
"11718",11719,"10306",-74.09703788,40.57446371
"11719",11720,"10302",-74.12867062,40.63735715
"11720",11721,"10303",-74.1687966,40.62111919
"11721",11722,"10302",-74.13672449,40.63609074
"11722",11723,"10314",-74.14636469,40.60750555
"11723",11724,"10306",-74.1072708,40.58058376
"11724",11725,"10302",-74.13672449,40.63609074
"11725",11726,"10314",-74.14636469,40.60750555
"11726",11727,"10302",-74.13672449,40.63609074
"11727",11728,"10314",-74.14636469,40.60750555
"11728",11729,"10302",-74.13672449,40.63609074
"11729",11730,"10301",-74.07924835,40.63823076
"11730",11731,"10305",-74.08509787,40.59715348
"11731",11732,"10310",-74.1189623,40.63441147
"11732",11733,"10302",-74.13672449,40.63609074
"11733",11734,"10302",-74.13672449,40.63609074
"11734",11735,"10305",-74.08509787,40.59715348
